symbol,strike,iv,last_price,expiry,type,underlying_price,moneyyyyy,expiry_dt,T,d2,exercise_prob
AAPL US 03/20/26 C350 Equity,350.0,0.3612577,0.03,3/20/2026,Call,263.81,OTM,2026-03-20,0.07665982203969883,-2.853401620404931,0.002162695913962813
AAPL US 03/20/26 C355 Equity,355.0,0.3775656,0.01,3/20/2026,Call,263.8,OTM,2026-03-20,0.07665982203969883,-2.870625318829663,0.002048303892902936
AAPL US 03/20/26 C360 Equity,360.0,0.41473109999999996,0.01,3/20/2026,Call,263.81,OTM,2026-03-20,0.07665982203969883,-2.7446784990046016,0.003028510222591625
AAPL US 03/20/26 C370 Equity,370.0,0.3848179,0.01,3/20/2026,Call,263.81,OTM,2026-03-20,0.07665982203969883,-3.206582636791089,0.0006716085965758997
AAPL US 03/20/26 C380 Equity,380.0,0.43787869999999995,0.08,3/20/2026,Call,263.8,OTM,2026-03-20,0.07665982203969883,-3.0520991356475626,0.0011362351754066688
AAPL US 03/20/26 C390 Equity,390.0,0.49734110000000004,0.01,3/20/2026,Call,263.8,OTM,2026-03-20,0.07665982203969883,-2.8913041611629144,0.0019182330878731628
AAPL US 03/20/26 C400 Equity,400.0,0.4653,0.01,3/20/2026,Call,263.8,OTM,2026-03-20,0.07665982203969883,-3.2777469855687693,0.0005231957123931056
AAPL US 03/20/26 C410 Equity,410.0,0.538957,0.01,3/20/2026,Call,263.81,OTM,2026-03-20,0.07665982203969883,-3.0140109210782065,0.0012890926252097366
AAPL US 03/20/26 C420 Equity,420.0,0.5653248,0.01,3/20/2026,Call,263.8,OTM,2026-03-20,0.07665982203969883,-3.034758355709582,0.001203642382951469
AAPL US 03/20/26 C430 Equity,430.0,0.5701294,0.01,3/20/2026,Call,263.81,OTM,2026-03-20,0.07665982203969883,-3.1593326843097653,0.0007906543415877578
AAPL US 03/20/26 C440 Equity,440.0,0.5617005,0.01,3/20/2026,Call,263.8,OTM,2026-03-20,0.07665982203969883,-3.3524569428661066,0.00040048849641443983
AAPL US 03/20/26 C450 Equity,450.0,0.5841531,0.01,3/20/2026,Call,263.81,OTM,2026-03-20,0.07665982203969883,-3.3684106270162615,0.0003780145193184579
AAPL US 03/20/26 P90 Equity,90.0,1.267494,0.01,3/20/2026,Put,263.8181,OTM,2026-03-20,0.07665982203969883,2.895590558905036,0.0018922290905386075
AAPL US 03/20/26 P95 Equity,95.0,1.88749,0.04,3/20/2026,Put,263.81,OTM,2026-03-20,0.07665982203969883,1.6974721033076334,0.044803720437184634
AAPL US 03/20/26 P100 Equity,100.0,1.083935,0.02,3/20/2026,Put,263.81,OTM,2026-03-20,0.07665982203969883,3.089900735352182,0.001001117000941779
AAPL US 03/20/26 P105 Equity,105.0,1.4104230000000002,0.02,3/20/2026,Put,263.81,OTM,2026-03-20,0.07665982203969883,2.1697702260954994,0.015012128487354079
AAPL US 03/20/26 P110 Equity,110.0,1.3519040000000002,0.03,3/20/2026,Put,263.8,OTM,2026-03-20,0.07665982203969883,2.1558609983545094,0.015547260351777118
AAPL US 03/20/26 P115 Equity,115.0,1.2881989999999999,0.03,3/20/2026,Put,263.8181,OTM,2026-03-20,0.07665982203969883,2.1561112401443006,0.015537490014250109
AAPL US 03/20/26 P120 Equity,120.0,1.152886,0.01,3/20/2026,Put,263.8,OTM,2026-03-20,0.07665982203969883,2.3152903204311235,0.010298524566497083
AAPL US 03/20/26 P125 Equity,125.0,0.8969041,0.01,3/20/2026,Put,263.8,OTM,2026-03-20,0.07665982203969883,2.892691590281882,0.001909780742517803
AAPL US 03/20/26 P130 Equity,130.0,0.8854165999999999,0.02,3/20/2026,Put,263.81,OTM,2026-03-20,0.07665982203969883,2.77359086100215,0.0027720677877100205
AAPL US 03/20/26 P135 Equity,135.0,0.9843856,0.05,3/20/2026,Put,263.8,OTM,2026-03-20,0.07665982203969883,2.330103304952236,0.009900345900875324
